"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"2","81","Design an arithmetic circuit with one selection variable S and two n-bit data
inputs A and B. The circuit generates the following four arithmetic operations in conjunction with the input carry Cin. Draw the logic diagram for the first two stages.
S        Cin = 0                               Cin = 1
0        D= A+B (add)                    D= A+1 (increment)
1        D= A-1 (decrement)        D= A+B′+1 (subtract)","","4","","","","","",""
"3","82","Only instructions with zero, one & two adresses are supported by some CPUs. The size of an OP-CODE is 16-bit, whereas the size of an adress is 4 bits. What is maximum number of two adress instruction ?","256","1","256","64","8","128","",""
"3","83","A computer has an instruction size of 16 bits and has 16 programmer visible registers. Each instruction has two source and one destination operands and uses only register direct adressing. The maximum number of opcodes that
this processor can have is","16","1","64","32","16","8","",""
"3","84","Which cycle refers to the time period during which one instruction is
fetched and executed by the CPU:","instruction cycle","1","fetch cyce","instruction cycle","decode cycle","execute cycle","",""
"3","85","How many stages of instruction cycle:","4","1","5","6","4","7","",""
"3","86","Which instruction are used in multithreaded parallel processor architecture:","memory referance
instruction","1","memory referance instruction","memory referance format","both","none","",""
"3","87","CPU has built-in ability to execute a particular set of machine instructions, called as                      ","Instruction Set","","a) Instruction Set","b) Registers","c) Sequence Set","d) User instructions","",""
"3","88","Choose the correct statement from following
1). Opcode indicates the operations to be performed
2). The length of a register is called register limit.
3) the instructions STA 16-bit address; ADD A, B, ; MUL C, D & RET out of this only STA 16-bit address is data transfer instruction
4) the number of sign bits in a 32-bit IEEE format is 1","c) 1,3,4","1","1, 2, 3, 4","2, 4 only","1, 3, 2004","1 & 2 only","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"3","89","Match the followings
HEX code / symbol  Description / hex code
1) AND                       p) 7008
2) EXXX                      q) 7004
3) STA with I = 1        r) 5XXX
4) BSA with I = 0       s) Increment & skip if zero.
5) SZA                         t) 0XXX with I=0
u) BXXX
v) Branch & save return address
w) Load memory word to AC
x) 3XXX","c) 1 – t , 2 – s , 3 –
u , 4 – r , 5 – p","1","a) 1 – x , 2 – w , 3 – r , 4 – v , 5 – q","b) 1 - w , 2 – s , 3 – x , 4
v, 5 – p","c) 1 – t , 2 – s , 3 – u , 4
– r , 5 – p","d) 1 – u, 2 – w, 3 – x, 4
– v, 5 – q","",""
"3","90","Which of the following register holds the address of instruction","PC","1","DR","PC","IR","AC","",""
"3","91","Which register holds memory operand","DR","1","DR","AR","AC","IR","",""
"3","92","Which register holds address of memory","AR","1","DR","AR","PC","TR","",""
"3","93","Which register holds instruction code","IR","1","DR","AR","IR","PC","",""
"3","94","Which of the following register has 12 bits
1. DR 2. AR 3. AC 4. PC 5. TR 6. IR 7. INPR 8. OUTR","C) 3 & 5","","A) 1 & 2","B) 2&4","C) 3 & 5","D) 7 & 8","",""
"3","95","Which of the following is group of bits that instruct the computer to
perform a specific operation","Instruction code","1","address","memory","program counter","instruction code","",""
"3","96","what will be the contents of processor register and extended bit after execution of following instruction code if the initial content of AC is F000 and memory locations [300] are 567 and [567] are 200 respectively ?
1    AND   300
0    ADD   567 CME","200,0","1","200,1","F200,1","200,0","FDFF, 1","",""
"3","97","Which of the following represent the size of processor register and hex code
for a register reference instruction ?","16, 7080","1","16 , F080","16, 7080","8, F080","8, 7080","",""
"3","98","Which of following pair match correct ?
1. 2n micro operations     p. 16 bits
2. PC                                    q. E=0
3. CLE                                   r. 12 Bits
4. CMA                                s. n bits opcode
5. AC                                    t. 2n bit op code
6. DR                                    u. complement processor register","(1,s), (2,r), (3,q),
(4,u) , (5,p), (6,p)","1","(1,s), (2,r), (3,r), (4,q) , (5,p), (6,p)","(1,t), (2,r), (3,r), (4,q) , (5,p), (6,p)","(1,s), (2,r), (3,q), (4,u) , (5,p), (6,p)","(1,t), (2,r), (3,r), (4,u) , (5,p), (6,p)","",""
"3","99","Which of the following is used to stores address of memory from which data
is collected & sent to CPU","memory address
register","1","program counter","cache memory","memory address
register","memory data register","",""
"3","100","the register which keeps tracks of execution of program & which contains the memory address of instruction currently being executed is called","program counter","1","index register","memory address register","program counter","instruction register","",""
"3","101","program counter contents indicates","the adress where next instruction is stored","1","the time elapsed since execution begins","the count of programs being executed after switching the power ON","the adress where next instruction is stored","the time needed to execute a program","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"3","102","statement associated with register of CPU are given , identify the false statement","program counter holds the memory address of the instruction in execution","1","program counter holds the memory address of the instruction in execution","only opcode is transferred to control unit","an instruction in the instruction register consists of opcode & operand","the value of program counter is incremented by 1 once its value has been read to memory address register","",""
"3","103","write basic single address instruction code to evaluate the following arithmetic statement Y = ( A* B ) + ( C+ D) + 1 . Explain execution of given statement using 16-bit common bus system for basic computer system. Draw timing diagram for loading processor register with content present at
M[A].","","5","","","","","",""
"3","104","write basic single address instruction code to evaluate the following arithmetic statement Y = (A+C+D)+1 . Explain execution of given statement using 16-bit common bus system for basic computer system. Draw timing diagram for ADDING processor register with content present at M[C].","","5","","","","","",""
"3","105","illustration about Time-shared common bus interconnection structure","","5","","","","","",""
"3","106","illustrate the register reference instruction format.","","3","","","","","",""
"3","107","a computer uses a memory unit with 256k words of 32 bits each, a binary instruction code is stored in one word of memory. The instruction has four parts : an indirect bit, am operation code, a register code part to specify one of 64 register and an address part. find how many bits are there in the operation code, the register code part, and address part respectively","7,6,18","1","7,6,18","5,6,20","7,5,19","5,7,19","",""
"3","108","what is the difference between a direct and indirect address instruction ? How many references to memory are needed for each type of instruction to
bring an operand into a processor register ?","","2","","","","","",""
"3","109","consider the instruction formats of the basic computer, for each of the following 16-bit instruction, gives the equivalent four digit hexa decimal code and explain in your own words what it is that the instruction is going to perform. A) 0001 0000 0010 0100 B) 1011 0001 0010 0100 C) 0111 0000
0010 0000","","4","","","","","",""
"3","110","draw the timing diagram of following instruction : D3T4 : SC <-- 0","","3","","","","","",""
"3","111","which bus is used to specify memory location for the data being transfered","address bus","1","control bus","data bus","address bus","i/o bus","",""
"3","112","which  of the following stores operand during execution and result of
operation after execution","accumulator","1","general purpose
register","stack register","flag register","accumulator","",""
"3","113","D2T4: DR← M [AR]
D2T5: AC← DR ,  ← 0  this indicate which computer instructions ?","LDA","1","LDA","STA","ADD","AND","",""
"3","114","Identify the computer instruction, This instruction stores the content of AC into the memory word specified by the effective address. Since the output of AC is applied to the bus and the data input of memory is connected to the bus, we can execute this instruction with one microoperation:","STA","1","LDA","STA","ADD","BUN","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"3","115","Identify the computer instruction, This instruction transfers the program to the instruction specified by the effective address. Remember that PC holds the address of the instruction to be read from memory in the next instruction cycle. PC is incremented at time T1 to prepare it for the address of the next instruction in the program sequence. This instruction allows the programmer to specify an instruction out of sequence and we say that the program branches","BUN","1","BUN","BSA","LDA","ISZ","",""
"3","116","Identify the computer instruction which having following micro operation is D6T4: DR <-- M [AR]
D6T5: DR <-- DR + 1 D,T,: M [AR] <-- DR,
if (DR = 0) then (PC ← PC + 1), SC ← 0","ISZ","1","BUN","BSA","LDA","ISZ","",""
"3","117","An addressing of memory having 16-bit format, out of this its 15th bit is 0, 12th 13th & 14th bit is having 0 1 0 value respectively & rest of the bits value is unkonwn then find what type of address, which memory referance
instruction with its HEXCODE notation","direct, ADD, 1XXX","1","direct, AND, 0XXX","Indirect, AND, 8XXX","indirect, ADD,  9XXX","direct, ADD, 1XXX","",""
"3","118","An addressing of memory having 16-bit format, out of this its 15th bit is 1, 12th 13th & 14th bit is having 0 1 1  value respectively & rest of the bits value is unkonwn then find what type of address, which memory referance
instruction with its HEXCODE notation","INDIRECT, ISZ, EXXX","1","INDIRECT, BUN, CXXX","INDIRECT, STA, BXXX","INDIRECT, BSA, DXXX","INDIRECT, ISZ, EXXX","",""
"3","119","Which register referance instruction is used for skip next instruction if
Accumulator is positive","SPA","1","SPA","STA","SNA","SZE","",""
"3","120","The register referance instruction having hex code of 7004 is.....","SZE","1","SZE","SPA","SZA","SNA","",""
"3","121","MAtch the followings
HEX code / symbol  Description / hex code
1) CLA                      p) 7800
2) HLT                      q) 7040
3) SZE                       r) 7200
4) SNA                      s) 7002
5) CME                     t) 7010
u) 7008
v) 7004
w) 7100
x) 7001","1- P, 2- X, 3- S, 4 - U, 5 - W","1","1- P, 2- X, 3- S, 4 -U, 5 - W","1- Q, 2- S, 3- X, 4 -P, 5 - T","1- R, 2- T, 3- V, 4 -W, 5 - X","1- T, 2- U, 3- V, 4 -W, 5 X","",""
"4","122","Which of the following instruction is used to skip next instruction if (A-B) < 0
?","a","1","SNA","SPA","SZE","SZA","",""
"4","123","Which of the following instruction is used to skip next instruction if (A-B) > 0
?","b","1","SNA","SPA","SZE","SZA","",""
"4","124","Which of the following instruction is used to skip next instruction if (A-B) = 0
?","d","1","SNA","SPA","SZE","SZA","",""
"4","125","Explain execution time for following instruction with example: a) ISZ b) SZA
c) SKI","","4","","","","","",""
"4","126","What can be interpreted about instruction type if 15th bit (I) of instruction format is 1?","both c & d","1","direct address memory instruction","indirect address memory instruction","register reference instruction","I/O reference instruction","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"4","127","What can be interpreted about instruction type if 15th bit (I) of instruction format is 0?","both a & b","1","direct address memory instruction","indirect address memory instruction","register reference instruction","I/O reference instruction","",""
"4","128","The first machine cycle of an instruction is always      ","a","1","instruction fetch","decode","read effective address","execute","",""
"4","129","What are the control bits for CMA instruction ?","","2","","","","","",""
"4","130","What are the control bits for SZA instruction ?","","2","","","","","",""
"4","131","What are the control bits for HLT instruction ?","","2","","","","","",""
"4","132","What are the control bits for CIL instruction ?","","2","","","","","",""
"4","133","State timing state for execution of BSA instruction.","","3","","","","","",""
"4","134","State timing state for execution of ISZ instruction.","","3","","","","","",""
"4","135","State timing state for execution of BUN instruction.","","3","","","","","",""
"4","136","State timing state for execution of ADD instruction.","","3","","","","","",""
"4","137","State timing state for execution of AND instruction.","","3","","","","","",""
"4","138","State timing state for execution of LDA instruction.","","3","","","","","",""
"4","139","State timing state for execution of STA instruction.","","3","","","","","",""
"4","140","What will be status of FGI flag bit if input device is ready to send data to
accumulator?","a","1","1","0","x","z","",""
"4","141","What will be status of FGO flag bit if output device is ready to accept data
from accumulator?","b","1","0","1","x","z","",""
"4","142","Draw interrupt cycle","","3","","","","","",""
"4","143","Explain execution time for following instruction with example: a) ISZ b) SPA
c) SKO","","4","","","","","",""
"4","144","What can be interpreted about instruction type if control statement is D7’I’T3?","a","1","direct address memory instruction","indirect address memory instruction","register reference instruction","I/O reference instruction","",""
"4","145","What can be interpreted about instruction type if control statement is D7I’T3?","c","1","direct address memory instruction","indirect address memory instruction","register reference instruction","I/O reference instruction","",""
"4","146","State setting condition of R flipflop in interrupt cycle.","","2","","","","","",""
"4","147","Explain execution time for following instruction with example: a) BSA b) SNA","","4","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"4","148","Which of following pair match correct?
1. 5 9 2 4 + - *                   p. 6
2. ISZ                                q. D5T5
3. BSA                              r. D6T6
4. CMA                             s. 15
5. postfix                           t. reverse polish
6. SP bit size                     u. rB9","d","1","(1,p), (2,r), (3,t), (4,q), (5,s), (6,s)","(1,s), (2,r), (3,q), (4,u), (5,p), (6,r)","(1,t), (2,r), (3,q), (4,q), (5,p), (6,p)","(1,s), (2,r), (3,q), (4,u), (5,t), (6,p)","",""
"4","149","What will be the contents of processor register after execution of following
code?
Location        Instruction 010        CLA
011        ADD 016
012        BUN 014
013        HLT
014        AND 017
015        BUN 013
016        C1A5
017        93C5","a","1","8184","8185","C1A5","93C5","",""
"4","150","What will be the contents of processor register after execution of following
code?
LocationInstruction 010CLA
011AND 016
012BUN 014
013HLT
014CMA
015BUN 013
016C1A5
01793C5","c","1","8184","8185","FFFF","93C6","",""
"4","151","What will be the contents of processor register after execution of following
code?
Location        Instruction 010        CLA
011        AND 016
012        BUN 014
013        HLT
014        ADD 017
015        BUN 013
016        C1A5
017        93C5","d","1","8184","8185","C1A5","93C5","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"4","152","Which of the following control bit is used for checking occurrence of
interrupt?","a","1","IEN","ION","IOF","SKI","",""
"4","153","Which of the following instruction is used for enabling interrupt?","b","1","IEN","ION","IOF","SKI","",""
"4","154","Which of the following instruction is used for disabling interrupt?","c","1","IEN","ION","IOF","SKI","",""
"4","155","Explain effect of before and after interrupt execution with an example.","","4","","","","","",""
"5","156","Write assembly language program to add two numbers.","","3","","","","","",""
"5","157","Write assembly language program to multiply two numbers.","","5","","","","","",""
"5","158","Write assembly language program to subtract one number from other
number.","","5","","","","","",""
"5","159","Write an Assembly level program to move one block of data to another
location.","","7","","","","","",""
"5","160","Write an Assembly level program for addition of 50 numbers.","","6","","","","","",""
"5","161","Write an assembly language program to find whether the given number is
prime or not.","","6","","","","","",""
"5","162","Write an assembly language program to find factorial of the given number.","","6","","","","","",""
"5","163","Write a program to evaluate the arithmetic statement: A*B+C*D+E
i. Using an accumulator type computer.
ii. Using a stack organized computer.","","5","","","","","",""
"5","164","Write ALP for addition of 10 numbers","","5","","","","","",""
"5","165","Write an assembly language program to find average of 15 numbers stored
at consecutive location inmemory.","","5","","","","","",""
"5","166","Write an assembly language program to find the Fibonacci series up to the
given number.","","6","","","","","",""
"5","167","Write assembly language program to add two double precision numbers.","","5","","","","","",""
"5","168","The following program is store d in the memory unit of basic computer.
Show the contents of AC, PC, IR at the end after execution of each instruction.All numbers listed below in hex.
Location       Instruction 010                CLA
011                ADD 016
012                BUN 014
013                HLT
014                AND 017
015                BUN 013
016                C1A5
017                93C6","","3","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
